Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total,Mbps (Media de bajada),,
2021,3,Mendoza,36,31,151871,12640,62628,7596,21087,50,255939,13.37,,
2021,3,Misiones,51,5,41932,25099,26079,14792,42291,8279,158528,30.88,,
2021,3,Neuquén,112,327,57441,8566,6234,3631,57919,5579,139809,38.34,,
2021,3,Río Negro,125,557,68991,3730,14880,2282,34011,20009,144585,25.4,,
2021,3,Salta,101,20,41431,70104,6962,3878,67010,6327,195833,31.21,,
2021,3,San Juan,18,333,59873,752,13250,338,278,4641,79483,7.04,,
2021,3,San Luis,60,0,11552,2405,6491,67942,22,29392,117864,21.7,,
2021,3,Santa Cruz,50,0,30561,8365,6799,1788,678,735,48976,7.69,,
2021,3,Santa Fe,467,579,193207,201250,83941,55080,290793,16267,841584,33.13,,
2021,3,Santiago Del Estero,123,909,32752,61838,11274,801,6863,898,115458,13.35,,
2021,3,Tierra Del Fuego,17,0,23723,13397,9782,1433,976,895,50223,9.52,,
2021,3,Tucumán,32,97,39446,50293,21986,5300,115154,164,232472,42.1,,
2021,2,Buenos Aires,37192,31178,1096049,244001,140322,236897,2337604,9108,4132351,52.76,,
2021,2,Capital Federal,294,603,157558,73568,43859,86655,1037752,66,1400355,72.75,,
2021,2,Catamarca,71,0,7219,9091,6828,4941,25388,2206,55744,42.19,,
2021,2,Chaco,301,112,23444,21574,24032,16069,47239,7958,140729,37.4,,
2021,2,Chubut,104,105,89639,22605,16604,3896,1112,5172,139237,7.68,,
2021,2,Córdoba,99,2452,201757,136516,66950,70824,442357,9925,930880,39.59,,
2021,2,Corrientes,67,645,29419,27037,24524,10059,32697,5053,129501,30.37,,
2021,2,Entre Ríos,107,3024,63518,55349,39468,18484,61605,16077,257632,27.62,,
2021,2,Formosa,381,0,22364,7310,7460,1341,11077,1618,51551,23.97,,
2021,2,Jujuy,48,175,24182,16577,37908,607,29950,2401,111848,25.81,,
2021,2,La Pampa,298,554,64146,7769,8128,3399,9311,4062,97667,12.28,,
2021,2,La Rioja,18,1,5312,5971,23298,4825,42158,19,81602,38.53,,
2021,2,Mendoza,36,31,137462,10886,56117,4403,20686,50,229671,13.47,,
2021,2,Misiones,51,5,41643,25907,25811,16172,38308,8279,156176,28.68,,
2021,2,Neuquén,112,327,57713,8631,5871,5943,54008,5645,138250,36.11,,
2021,2,Río Negro,125,557,69356,3663,15019,3867,31488,20009,144084,23.75,,
2021,2,Salta,101,20,42543,67012,7099,9654,58882,6328,191639,29.24,,
2021,2,San Juan,18,333,59989,784,12550,340,278,4641,78933,6.99,,
2021,2,San Luis,60,0,11752,2703,5418,65946,22,36917,122818,21.66,,
2021,2,Santa Cruz,50,0,30595,8463,6888,1575,676,735,48982,7.63,,
2021,2,Santa Fe,467,896,202018,204077,80452,75195,262124,15371,840600,30.7,,
2021,2,Santiago Del Estero,123,909,32034,62224,10359,811,6064,1566,114090,12.72,,
2021,2,Tierra Del Fuego,17,0,21335,6913,4580,476,889,1483,35693,8.59,,
2021,2,Tucumán,32,97,40224,51648,23732,5022,109616,2680,233051,40.31,,
2021,1,Buenos Aires,36939,31187,1108368,240520,163747,222061,2246313,10867,4060002,50.79,,
2021,1,Capital Federal,135,244,159662,76753,56457,83255,1003041,126,1379673,68.29,,
2021,1,Catamarca,71,0,7423,8455,10115,712,22996,2196,51968,39.97,,
2021,1,Chaco,301,112,24357,22102,27556,14496,42462,8384,139770,33.63,,
2021,1,Chubut,106,109,86986,21401,15392,2844,1112,4390,132340,7.53,,
2021,1,Córdoba,93,2386,211799,135092,74659,71984,402191,12677,910881,36.17,,
2021,1,Corrientes,67,527,31544,26223,26169,9001,27641,5453,126625,25.99,,
2021,1,Entre Ríos,105,2911,67255,56060,42432,15774,54600,12826,251963,23.87,,
2021,1,Formosa,56,0,22409,7569,7916,1215,9579,1942,50686,20.98,,
2021,1,Jujuy,49,175,23735,17293,40649,568,25609,2378,110456,26.78,,
2021,1,La Pampa,298,554,68200,7864,7611,2786,7368,2424,97105,10.73,,
2021,1,La Rioja,18,1,36749,5968,4604,215,5074,-1,52628,12.7,,
2021,1,Mendoza,28,40,134386,11216,52533,4061,16615,44,218923,12.6,,
2021,1,Misiones,51,524,40949,25503,27101,14050,32953,8256,149387,25.08,,
2021,1,Neuquén,116,327,56171,8443,5903,5677,50840,5758,133235,34.24,,
2021,1,Río Negro,125,466,70011,4187,13045,3642,29589,20103,141168,21.92,,
2021,1,Salta,109,20,40785,68149,9164,8139,54889,6319,187574,27.32,,
2021,1,San Juan,25,194,60439,858,11494,340,276,4641,78267,6.91,,
2021,1,San Luis,58,0,11889,2926,4429,62913,22,36917,119154,21.59,,
2021,1,Santa Cruz,50,0,30655,8334,6987,1337,647,-1945,46065,7.5,,
2021,1,Santa Fe,518,891,201632,204458,91846,65476,236924,24382,826127,28.13,,
2021,1,Santiago Del Estero,123,909,33884,58464,8549,700,4868,4144,111641,11.58,,
2021,1,Tierra Del Fuego,17,0,21379,1468,4317,486,919,11836,40422,8.73,,
2021,1,Tucumán,29,97,42810,53416,25255,4188,103437,2680,231912,37.98,,
2020,4,Buenos Aires,36939,31197,1109865,242243,214171,213588,2176242,9016,4033261,50.01,,
2020,4,Capital Federal,135,244,160210,78123,60208,80269,1000073,268,1379530,67.33,,
