Año,Trimestre,Provincia,Tipo Conexion,Accesos
2017,4,Chaco,ADSL,55035
2017,4,Chubut,ADSL,56378
2017,4,Córdoba,ADSL,349710
2017,4,Corrientes,ADSL,56786
2017,4,Entre Ríos,ADSL,107764
2017,4,Formosa,ADSL,23410
2017,4,Jujuy,ADSL,33844
2017,4,La Pampa,ADSL,10808
2017,4,La Rioja,ADSL,16912
2017,4,Mendoza,ADSL,152896
2017,4,Misiones,ADSL,56271
2017,4,Neuquén,ADSL,46739
2017,4,Río Negro,ADSL,68690
2017,4,Salta,ADSL,80705
2017,4,San Juan,ADSL,54079
2017,4,San Luis,ADSL,11104
2017,4,Santa Cruz,ADSL,18614
2017,4,Santa Fe,ADSL,341680
2017,4,Santiago Del Estero,ADSL,27313
2017,4,Tierra Del Fuego,ADSL,19372
2017,4,Tucumán,ADSL,156583
2017,3,Buenos Aires,ADSL,1288025
2017,3,Capital Federal,ADSL,583249
2017,3,Catamarca,ADSL,26873
2017,3,Chaco,ADSL,54888
2017,3,Chubut,ADSL,56359
2017,3,Córdoba,ADSL,344580
2017,3,Corrientes,ADSL,56247
2017,3,Entre Ríos,ADSL,107774
2017,3,Formosa,ADSL,22647
2017,3,Jujuy,ADSL,33796
2017,3,La Pampa,ADSL,11378
2017,3,La Rioja,ADSL,16638
2017,3,Mendoza,ADSL,154036
2017,3,Misiones,ADSL,56472
2017,3,Neuquén,ADSL,48001
2017,3,Río Negro,ADSL,69301
2017,3,Salta,ADSL,80782
2017,3,San Juan,ADSL,54499
2017,3,San Luis,ADSL,11407
2017,3,Santa Cruz,ADSL,19220
2017,3,Santa Fe,ADSL,322953
2017,3,Santiago Del Estero,ADSL,27733
2017,3,Tierra Del Fuego,ADSL,21587
2017,3,Tucumán,ADSL,154130
2017,2,Buenos Aires,ADSL,1378549
2017,2,Capital Federal,ADSL,615262
2017,2,Catamarca,ADSL,26401
2017,2,Chaco,ADSL,54449
2017,2,Chubut,ADSL,43994
2017,2,Córdoba,ADSL,341748
2017,2,Corrientes,ADSL,55262
2017,2,Entre Ríos,ADSL,108309
2017,2,Formosa,ADSL,22493
2017,2,Jujuy,ADSL,33742
2017,2,La Pampa,ADSL,12754
2017,2,La Rioja,ADSL,16244
2017,2,Mendoza,ADSL,153331
2017,2,Misiones,ADSL,56752
2017,2,Neuquén,ADSL,51794
2017,2,Río Negro,ADSL,67038
2017,2,Salta,ADSL,80184
2017,2,San Juan,ADSL,48670
2017,2,San Luis,ADSL,11432
2017,2,Santa Cruz,ADSL,15311
2017,2,Santa Fe,ADSL,329813
2017,2,Santiago Del Estero,ADSL,28337
2017,2,Tierra Del Fuego,ADSL,22636
2017,2,Tucumán,ADSL,149013
2017,1,Buenos Aires,ADSL,1559178
2017,1,Capital Federal,ADSL,428801
2017,1,Catamarca,ADSL,26020
2017,1,Chaco,ADSL,54430
2017,1,Chubut,ADSL,43994
2017,1,Córdoba,ADSL,335673
2017,1,Corrientes,ADSL,54993
2017,1,Entre Ríos,ADSL,108509
2017,1,Formosa,ADSL,22438
2017,1,Jujuy,ADSL,33869
2017,1,La Pampa,ADSL,12754
2017,1,La Rioja,ADSL,16180
2017,1,Mendoza,ADSL,153326
2017,1,Misiones,ADSL,57363
2017,1,Neuquén,ADSL,51771
2017,1,Río Negro,ADSL,67075
2017,1,Salta,ADSL,79837
2017,1,San Juan,ADSL,48670
2017,1,San Luis,ADSL,11432
2017,1,Santa Cruz,ADSL,15502
2017,1,Santa Fe,ADSL,327458
2017,1,Santiago Del Estero,ADSL,29616
2017,1,Tierra Del Fuego,ADSL,22636
